County,Office,Candidate,Party,District,Votes
,Town Council Member,RICK E GLAUB,Republican,YORKTOWN,4963
,Town Council Member,Rickie L Black,Republican,PARAGON,204
,Town Council Member,Robert E Morrison Jr.,Republican,SHADELAND,516
,Town Council Member,Ron S Eash,Republican,Topeka,212
,Town Council Member,Roxanne Meyer,Republican,VERSAILLES,517
,Town Council Member,Samuel Q. A. Levine,Republican,GALVESTON,421
,Town Council Member,Steven R Sorenson,Republican,Fowler,653
,Town Council Member,Suzanna J Wilcoxon,Republican,MEDARYVILLE,105
,Town Council Member,TAD T HITE,Republican,Shipshewana,308
,Town Council Member,Tom J Murray,Republican,WINAMAC,507
,Town Council Member,Vincent R Miller,Republican,LaPorte,107
,Town Council Member,Walter Abbott,Republican,MORGANTOWN,204
,Town Council Member,William (Bill) Compton,Republican,NORTH SALEM,176
,School Board Member,(Dan) Danny J Beall,Non Partisan,EAST NOBLE,2626
,School Board Member,Aaron (Spud) Schocke,Non Partisan,SALEM COMM SCHOOLS,1450
,School Board Member,AARON A ZOLMAN,Non Partisan,TIPPECANOE VALLEY SCHOOL CORPORATION,3582
,School Board Member,Aaron Dennis,Non Partisan,WEST WASHINGTON,706
,School Board Member,Aaron J Pickering,Non Partisan,Oak Hill United School Corporation,1565
,School Board Member,Aaron L Pfafman,Non Partisan,Prairie Heights,1807
,School Board Member,Aaron L Stevens,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,8011
,School Board Member,Aaron M Bauer,Non Partisan,"VINCENNES CITY 01, VINCENNES CITY 02, VINCENNES CITY 03, VINCENNES CITY 04, VINCENNES CITY 05, VINCENNES CITY 06, VINCENNES CITY 07, VINCENNES CITY 08, VINCENNES TOWNSHIP 1, VINCENNES TOWNSHIP 2, VINCENNES TOWNSHIP 3, VINCENNES TOWNSHIP 4",5035
,School Board Member,Aaron Rust,Non Partisan,TRI TOWNSHIP CSC,618
,School Board Member,Aaron T Lamb,Non Partisan,Beech Grove Schools,2210
,School Board Member,Aaron Wesley Conaway,Non Partisan,TIPTON COMMUNITY,1850
,School Board Member,Abbie Morgan,Non Partisan,NORTH WEST HENDRICKS SCHOOLS,2719
,School Board Member,Adam J Beck,Non Partisan,"PRECINCT 22, PRECINCT 23, PRECINCT 27, PRECINCT 28, PRECINCT 32, PRECINCT 33, PRECINCT 39",1660
,School Board Member,Adam M Williams,Non Partisan,Delaware Community School District,4678
,School Board Member,Adam Perrone,Non Partisan,Lewis Cass Schools,726
,School Board Member,ADAM S HECKAMAN,Non Partisan,TIPPECANOE VALLEY SCHOOL CORPORATION,3541
,School Board Member,Adam S Lehman,Non Partisan,"SA SCHOOL BOARD SEAT 1, SA SCHOOL BOARD SEAT 2, SA SCHOOL BOARD SEAT 3, SA SCHOOL BOARD SEAT 4, SA SCHOOL BOARD SEAT 5",2921
,School Board Member,Adam Shepherd,Non Partisan,"WBCCS Clinton, WBCCS Harrison, WBCCS Jackson, WBCCS Jefferson, WBCCS Sugar Creek, WBCCS Washington",3063
,School Board Member,Adrienne Rogers,Non Partisan,NOBLESVILLE,5517
,School Board Member,AKILIA MCCAIN,Non Partisan,Gary,1966
,School Board Member,Alan A Austin,Non Partisan,WESTERN WAYNE SCHOOLS,292
,School Board Member,ALAN R FOX,Non Partisan,TriCreek,1015
,School Board Member,Alex M Knepp,Non Partisan,BARR-REEVE,1592
,School Board Member,Alex Portee,Non Partisan,WASHINGTON,1207
,School Board Member,Alexandra M. Curlin,Non Partisan,Washington Township Schools,16918
,School Board Member,Alfredo Alvarado,Non Partisan,Bremen Public Schools,2177
,School Board Member,ALICIA A. PAUL,Non Partisan,Lake Central,6188
,School Board Member,Alicia Houchin,Non Partisan,South Knox Schools,2123
,School Board Member,Alison L Tokar,Non Partisan,MT PLEASANT,10163
,School Board Member,Allan Kauffman,Non Partisan,GCS 4,2220
,School Board Member,Allen L Stevens,Non Partisan,SOUTH CENTRAL COMMUNITY SCHOOL CORPORATION,1296
,School Board Member,ALLENCIA BALLARD,Non Partisan,Highland,4156
,School Board Member,Allison Jean Ezzell,Non Partisan,SALEM COMM SCHOOLS,1776
,School Board Member,Allison M Shook,Non Partisan,Plymouth Community School Corp,5706
,School Board Member,Amanda E Perkins,Non Partisan,Whiting,921
,School Board Member,Amanda J. Shera,Non Partisan,HAMILTON SOUTHEASTERN,14730
,School Board Member,Amanda Kelich,Non Partisan,Madison-Grant United School Corportation,2681
,School Board Member,Amanda L Lock,Non Partisan,JEFFERSON 11,324
,School Board Member,Amanda R (Mandy) Sharpe,Non Partisan,WEST CENTRAL,1266
,School Board Member,Amanda Redmon,Non Partisan,"C1, C2, C3, C4, C5",1753
,School Board Member,Amber D Greene,Non Partisan,NORTH PUTNAM COM SCH,3330
,School Board Member,Amber M Rodibaugh,Non Partisan,TIPTON COMMUNITY,2135
,School Board Member,Amy Austin,Non Partisan,West Lafayette School Corporation,2307
,School Board Member,Amy Bair,Non Partisan,ALEXANDRIA COMMUNITY SCHOOL CORP,1620
,School Board Member,Amy Counts,Non Partisan,CENTER GROVE SCHOOL CORP,12728
,School Board Member,Amy H Oliver,Non Partisan,Brown,2807
,School Board Member,Amy Jo Will,Non Partisan,NORTH POSEY,2325
,School Board Member,Amy L Mennen,Non Partisan,"PRECINCT 21, PRECINCT 24, PRECINCT 25, PRECINCT 26, PRECINCT 29, PRECINCT 30, PRECINCT 36, PRECINCT 38",1552
,School Board Member,Amy L Miller,Non Partisan,SOUTH RIPLEY,1735
,School Board Member,Amy L Welkie,Non Partisan,TRI TOWNSHIP CSC,551
,School Board Member,Amy M Orr,Non Partisan,SOUTH ADAMS,1025
,School Board Member,Amy Miller,Non Partisan,Lewis Cass Schools,3161
,School Board Member,AMY MUSSER,Non Partisan,SOUTHEAST FOUNTAIN S. C.,2098
,School Board Member,Amy Pictor,Non Partisan,WESTFIELD-WASHINGTON,9905
,School Board Member,Amy R Fouche,Non Partisan,NORTHEASTERN WAYNE SCHOOLS,453
,School Board Member,Amy R Lore,Non Partisan,Vigo,15639
,School Board Member,Amy S Combs,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,2702
,School Board Member,Amy S Word,Non Partisan,Vanderburgh,31094
,School Board Member,Andrea Campbell,Non Partisan,TIPTON COMMUNITY,2730
,School Board Member,Andrea L Hale,Non Partisan,WESTERN,4099
,School Board Member,Andrea M Kirkpatrick,Non Partisan,Ohio,2006
,School Board Member,Andrea S Baysinger,Non Partisan,Clay Community,1718
,School Board Member,Andrew H Davis,Non Partisan,White River Valley School Corp.,333
,School Board Member,Andrew Jones,Non Partisan,Madison,4357
,School Board Member,Andrew Lamm,Non Partisan,FRANKLIN COMM SCHOOL CORP,8500
,School Board Member,ANDREW SHIH,Non Partisan,Crown Point,6885
,School Board Member,Andy Ayres,Non Partisan,MCS,1421
,School Board Member,Andy Wandersee,Non Partisan,CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,2439
,School Board Member,Angela (Angie)  Brown,Non Partisan,SOUTH MADISON COMMUNITY SCHOOL CORP,4086
,School Board Member,Angela (Anji) Strasburger,Non Partisan,SOUTH NEWTON,1642
,School Board Member,Angela Janes,Non Partisan,West Lafayette School Corporation,1310
,School Board Member,Angela K Topp,Non Partisan,Northern Wells,5868
,School Board Member,Angela Layman,Non Partisan,MISHAWAKA,3645
,School Board Member,Angela Sheets,Non Partisan,Bluffton-Harrison,1917
,School Board Member,Ann Carruthers,Non Partisan,Floyd,15512
,School Board Member,Anne H. Poindexter,Non Partisan,CARMEL-CLAY,9749
,School Board Member,Anne L Engelhardt,Non Partisan,AVON COMM SCHOOLS,9968
,School Board Member,Annette J Arnold,Non Partisan,WHITKO COMMUNITY SCHOOL CORPORATION,2188
,School Board Member,ANNETTE M FERCH,Non Partisan,"DAVIS, OREGON 1, OREGON 2, OREGON 3",878
,School Board Member,Annette Malone  ,Non Partisan,SCHOOL DISTRICT 4,2785
,School Board Member,Anthony (Tony) Schantz,Non Partisan,CLARK PLEASANT SCHOOL CORP,5534
,School Board Member,April Hennessey,Non Partisan,Monroe County Comm School Corp,21542
,School Board Member,April Mcmanus,Non Partisan,Beech Grove Schools,2496
,School Board Member,Arden W Balmer,Non Partisan,Union-North United School Corp,2073
,School Board Member,Arlene J Amstutz,Non Partisan,"SA SCHOOL BOARD SEAT 1, SA SCHOOL BOARD SEAT 2, SA SCHOOL BOARD SEAT 3, SA SCHOOL BOARD SEAT 4, SA SCHOOL BOARD SEAT 5",2884
,School Board Member,Arlet Jackle,Non Partisan,GREATER JASPER CONSOLIDATED,7119
,School Board Member,Art Juergens,Non Partisan,SEYMOUR SCHOOL CORP,7946
,School Board Member,Ashlee Duncan,Non Partisan,Mitchell Community Schools,429
,School Board Member,Audrey Marie Strecker,Non Partisan,Wayne Township Schools,4926
,School Board Member,Austin R Rich,Non Partisan,Liberty Perry Community School District,609
,School Board Member,Autumn C Ferch,Non Partisan,Knox,2528
,School Board Member,Barbara (Gentry) Duncan,Non Partisan,WASHINGTON,635
,School Board Member,Barbara J Rotramel,Non Partisan,Southwest Schools,3451
,School Board Member,Barbara L Toole,Non Partisan,"VINCENNES CITY 01, VINCENNES CITY 02, VINCENNES CITY 03, VINCENNES CITY 04, VINCENNES CITY 05, VINCENNES CITY 06, VINCENNES CITY 07, VINCENNES CITY 08, VINCENNES TOWNSHIP 1, VINCENNES TOWNSHIP 2, VINCENNES TOWNSHIP 3, VINCENNES TOWNSHIP 4",4576
,School Board Member,Barry M Edwards,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,1061
,School Board Member,Beau Dial,Non Partisan,Warrick,9850
,School Board Member,BECKY MAGGART,Non Partisan,MSD SCHOOL DISTRICT,3102
,School Board Member,Becky O'Farrell,Non Partisan,TWLK 2,1016
,School Board Member,Benita T. Hutt,Non Partisan,CARMEL-CLAY,5766
,School Board Member,Benjamin Liechty,Non Partisan,"AC SCHOOL BOARD SEAT 1, AC SCHOOL BOARD SEAT 2, AC SCHOOL BOARD SEAT 3, AC SCHOOL BOARD SEAT 4, AC SCHOOL BOARD SEAT 5, AC SCHOOL BOARD SEAT 6",2214
,School Board Member,Benjamin T Bowers,Non Partisan,SALEM COMM SCHOOLS,1179
,School Board Member,Beth A Ruff,Non Partisan,EASTERN PULASKI,1774
,School Board Member,Beth A. Prindle,Non Partisan,Beech Grove Schools,2474
,School Board Member,Beth Cherry,Non Partisan,DANVILLE COMM SCHOOLS,2755
,School Board Member,Beth Glynn,Non Partisan,CARMEL-CLAY,8500
,School Board Member,Beth McFadin Higgins,Non Partisan,MT. VERNON,4915
,School Board Member,Betty A Richardson,Non Partisan,Crawford County,2272
,School Board Member,Billy J Lytle,Non Partisan,"C1, C2, C3, C4, C5",2720
,School Board Member,Blane C Holland,Non Partisan,PERU,789
,School Board Member,Bobbi M Elliott,Non Partisan,"PRECINCT 22, PRECINCT 23, PRECINCT 27, PRECINCT 28, PRECINCT 32, PRECINCT 33, PRECINCT 39",1729
,School Board Member,Boyd A Brubaker,Non Partisan,MCS,1845
,School Board Member,Brad  Justus,Non Partisan,ALEXANDRIA COMMUNITY SCHOOL CORP,1309
,School Board Member,Brad Anderson,Non Partisan,EAST NOBLE,4044
,School Board Member,Brad Marley,Non Partisan,West Lafayette School Corporation,1824
,School Board Member,Brad Tucker,Non Partisan,Richland-Bean Blossom Comm School Corp,4333
,School Board Member,Bradd A Weddell,Non Partisan,GOSHEN COMMUNITY SCHOOL,10709
,School Board Member,Bradley A Inskeep,Non Partisan,MONROE CENTRAL,1735
,School Board Member,Bradley A Parker,Non Partisan,JEFFERSON 11,217
,School Board Member,Bradley D Anderson,Non Partisan,Tippecanoe School Corporation,15628
,School Board Member,Bradley D Boyle,Non Partisan,"NA SCHOOL BOARD DIST 1, NA SCHOOL BOARD DIST 2",2948
,School Board Member,Bradley Dillon,Non Partisan,"EB District 1, EB District 2, EB District 3, EB District 4",1133
,School Board Member,Bradley J Hahn,Non Partisan,FRANKLIN COUNTY SCHOOL DISTRICT,320
,School Board Member,Bradley M Mills,Non Partisan,SOUTHWEST ALLEN,12226
,School Board Member,Bradley M Rogers,Non Partisan,PERU,3149
,School Board Member,Bradley S Walton,Non Partisan,RICHMOND COMMUNITY SCHOOL CORPORATION,8081
,School Board Member,Brady Kalb,Non Partisan,West Lafayette School Corporation,577
,School Board Member,BRANDAE STATELER,Non Partisan,SOUTH VERMILLION,1217
,School Board Member,BRANDI COOPER VANDIVIER,Non Partisan,"District 1, District 2, District 3, District 4, District 5, District 6",2897
,School Board Member,Brandi L Dean,Non Partisan,MSD Martinsville,4532
,School Board Member,Brandi M. London,Non Partisan,Wayne Township Schools,3768
,School Board Member,Brandi R Wampler,Non Partisan,Bremen Public Schools,621
,School Board Member,Brandon J (Brandi) Schemerhorn,Non Partisan,TRI-COUNTY,1451
,School Board Member,Brandon Randall,Non Partisan,IPS DISTRICT 1,5989
,School Board Member,Brenda K Metzger,Non Partisan,Warrick,14281
,School Board Member,BRENT A WATTS,Non Partisan,Lake Station,1055
,School Board Member,Brett A Binversie,Non Partisan,LaPorte,4265
,School Board Member,Brian A Arwood,Non Partisan,PERU,933
,School Board Member,Brian A Guernsey,Non Partisan,Borden-Henryville School,1981
,School Board Member,Brian A Pearison,Non Partisan,BAUGO COMMUNITY SCHOOL,845
,School Board Member,BRIAN A. DEFREESE,Non Partisan,"Tippecanoe School Corporation District 1, Tippecanoe School Corporation District 2, Tippecanoe School Corporation District 3, Tippecanoe School Corporation District 4, Tippecanoe School Corporation District 5, Tippecanoe School Corporation District 6",14258
,School Board Member,Brian Farmer,Non Partisan,WEST WASHINGTON,1492
,School Board Member,Brian J Bittner,Non Partisan,West Lafayette School Corporation,742
,School Board Member,Brian M Ramer,Non Partisan,MCS,1821
,School Board Member,Brian M Smith,Non Partisan,Crown Point,10152
,School Board Member,Brian Pemberton,Non Partisan,North Lawrence Community Schools,2758
,School Board Member,Brian R Teall,Non Partisan,Bremen Public Schools,2154
,School Board Member,Brian Robert Gott,Non Partisan,"WBCCS Clinton, WBCCS Harrison, WBCCS Jackson, WBCCS Jefferson, WBCCS Sugar Creek, WBCCS Washington",3209
,School Board Member,Brian Ruh,Non Partisan,West Lafayette School Corporation,409
,School Board Member,Brian W. Rose,Non Partisan,SCH F,646
,School Board Member,Brian Wogoman,Non Partisan,FAIRFIELD COMMUNITY SCHOOL,2876
,School Board Member,Brice W Bedke,Non Partisan,MCS,747
,School Board Member,Bridgette A Houser,Non Partisan,Northeast Schools,1236
,School Board Member,Britton C. Shoellhorn,Non Partisan,CENTER GROVE SCHOOL CORP,7412
,School Board Member,Brock M Sievers,Non Partisan,NORTH GIBSON 3,2517
,School Board Member,Brooke Thomas,Non Partisan,"MA District 1, MA District 2, MA District 3",6317
,School Board Member,Bruce A. Myers,Non Partisan,CANNELTON,259
,School Board Member,Bruce J Porter,Non Partisan,White River Valley School Corp.,241
,School Board Member,BRUCE W. WEST,Non Partisan,SOUTH VERMILLION,1848
,School Board Member,Bryan C Fisher,Non Partisan,Pike Township Schools,7567
,School Board Member,Bryan Wertz,Non Partisan,FRANKLIN COMM SCHOOL CORP,6091
,School Board Member,C Dan Bean,Non Partisan,Warrick,11663
,School Board Member,CAMERON J MARTIN,Non Partisan,Munster,4660
,School Board Member,Candace D Armstrong,Non Partisan,SOUTH NEWTON,1517
,School Board Member,Carl (Mike) Steele,Non Partisan,WESTFIELD-WASHINGTON,30563
,School Board Member,Carl A. Johnson IV,Non Partisan,NOBLESVILLE,5853
,School Board Member,Carl Anderson,Non Partisan,ORLEANS SCHOOL CORPORATION,1554
,School Board Member,Carla J Bultemeier,Non Partisan,"NA SCHOOL BOARD DIST 1, NA SCHOOL BOARD DIST 2",3508
,School Board Member,Carla R Bryant,Non Partisan,BLUE RIVER VALLEY SCHOOL,1236
,School Board Member,Carlene Hunt,Non Partisan,NORTH WHITE,1458
,School Board Member,CARLOS TOLLIVER,Non Partisan,Gary,1925
,School Board Member,Carol L Holzer,Non Partisan,SOUTH RIPLEY,2781
,School Board Member,Carri Cambron,Non Partisan,WEST WASHINGTON,983
,School Board Member,Carrie Bale,Non Partisan,Madison,13002
,School Board Member,Carrie Beth Rowland,Non Partisan,ALEXANDRIA COMMUNITY SCHOOL CORP,1964
,School Board Member,CARRIE J SCHROCK,Non Partisan,Westview,1866
,School Board Member,CASE GILBERT,Non Partisan,MSD SCHOOL DISTRICT,2953
,School Board Member,Casey Carmichael,Non Partisan,SOUTH HENRY SCHOOL,1836
,School Board Member,Casey I Zitkus,Non Partisan,ECS C,1815
,School Board Member,Casi J Cowles,Non Partisan,ROCHESTER SCHOOL CORPORATION,1815
,School Board Member,Catherine R Zeider,Non Partisan,SOUTH NEWTON,1603
,School Board Member,Cathy Fuentes-Rohwer,Non Partisan,Monroe County Comm School Corp,20244
,School Board Member,Cathy J. Hamm,Non Partisan,EDINBURGH COMM SCHOOL COR,918
,School Board Member,Cecelia M. Hamilton,Non Partisan,SOUTHEAST SCHOOL DISTRICT,2862
,School Board Member,Celina Clements,Non Partisan,Monroe-Gregg School,2197
,School Board Member,Chad A Cooper,Non Partisan,SPENCER/OWEN,5185
,School Board Member,Chad Bock,Non Partisan,ELWOOD COMMUNITY SCHOOL CORP,1437
,School Board Member,CHAD DAVIS,Non Partisan,SOUTH VERMILLION,931
,School Board Member,Chad E Boldry,Non Partisan,CASTON SCHOOL CORPORATION,1580
,School Board Member,Chad Gray,Non Partisan,MT. VERNON,4515
,School Board Member,Chad J Howell,Non Partisan,TRI TOWNSHIP CSC,721
,School Board Member,Chad J Roush,Non Partisan,Southern Wells,1535
,School Board Member,Chad J Stringer,Non Partisan,SOUTHWESTERN SCHOOLS,672
,School Board Member,Chad Ord,Non Partisan,VERNON SCHOOL CORP,800
,School Board Member,Chance A Creech,Non Partisan,UNION COUNTY / COLLEGE CORNER JOINT SCHOOL DISTRICT,1150
,School Board Member,Chandra L Felker,Non Partisan,Pioneer SC,1956
,School Board Member,Charles (Rick) Nightingale,Non Partisan,NORTH POSEY,1781
,School Board Member,Charles R Kouder  ,Non Partisan,Hanover,2492
,School Board Member,Chas F. Jones,Non Partisan,MT. VERNON,3786
,School Board Member,Chauna Leigh Holder,Non Partisan,HAMILTON SOUTHEASTERN,8396
,School Board Member,Chelsea Morrison,Non Partisan,Jennings,5406
,School Board Member,Chelsea Powers,Non Partisan,Lakeland,1481
,School Board Member,Chris Boots,Non Partisan,"AD 001, AD 002, AD 003, AD 004, FC 001, FC 002, FC 003, FC 004, FC 005, FC 006, FC 007, FC 008, FC 009, FC 010, GR 001, GR 002, GR 003, GR 004",8637
,School Board Member,CHRIS CARITHERS,Non Partisan,BAUGO COMMUNITY SCHOOL,1649
,School Board Member,Chris M Kelley,Non Partisan,TRI-CENTRAL SCHOOL CORPORATION,1354
,School Board Member,Chris Rountree  ,Non Partisan,Silver Creek School,5098
,School Board Member,Chris Smith,Non Partisan,Blackford,3513
,School Board Member,Chris W Nipple,Non Partisan,D6,155
,School Board Member,Chris Wolfe,Non Partisan,PERU,2379
,School Board Member,Christa Ellis,Non Partisan,UNION SCHOOL,776
,School Board Member,Christi Crosser,Non Partisan,NOBLESVILLE,8458
,School Board Member,Christian Lee Mattix,Non Partisan,JOHN GLENN SCH CORP,2378
,School Board Member,Christian Rosen,Non Partisan,MSD,3888
,School Board Member,Christie Paris Luckett,Non Partisan,SALEM COMM SCHOOLS,1103
,School Board Member,Christina Eshelman,Non Partisan,WA-NEE COMMUNITY SCHOOL,5394
,School Board Member,Christina M Franklin,Non Partisan,Silver Creek School,3344
,School Board Member,Christina Smith,Non Partisan,IPS DISTRICT 4,5787
,School Board Member,Christina Ward,Non Partisan,DANVILLE COMM SCHOOLS,3432
,School Board Member,Christine Stribiak,Non Partisan,Whiting,1041
,School Board Member,Christopher  Dalton,Non Partisan,BENTON COMMUNITY SCHOOL CORPORATION,2325
,School Board Member,Christopher (Chris) Dyer,Non Partisan,"C1, C2, C3, C4, C5",1037
,School Board Member,Christopher (Chris) Zaborowsky,Non Partisan,GREENWOOD COMMUNITY SCHOOL CORP,6113
,School Board Member,Christopher (Danny) Clipp,Non Partisan,ORLEANS SCHOOL CORPORATION,1047
,School Board Member,Christopher A Satterfield,Non Partisan,Pike County School Corp,2735
,School Board Member,Christopher A. Hunt,Non Partisan,SALEM COMM SCHOOLS,819
,School Board Member,Christopher D Burton,Non Partisan,SPRINGS VALLEY SCHOOL CORPORATION,1156
,School Board Member,Christopher D Mckinney,Non Partisan,Pike County School Corp,4240
,School Board Member,Christopher Douglas Lamb,Non Partisan,NEW CASTLE COMM SCHOOL,2317
,School Board Member,Christopher R Cornelius,Non Partisan,White River Valley School Corp.,218
,School Board Member,CHRISTOPHER VANDEWATER,Non Partisan,ATTICA SCHOOL CORPORATION,907
,School Board Member,CHRISTOPHER W. GAYLER,Non Partisan,ATTICA SCHOOL CORPORATION,1401
,School Board Member,Cindy Turner Simmons,Non Partisan,AVON COMM SCHOOLS,9275
,School Board Member,Clare Roach,Non Partisan,PENN-HARRIS-MADISON,18173
,School Board Member,Cliff Meyer,Non Partisan,SWITZERLAND CO. SCHOOL CORP.,2231
,School Board Member,Clint R House,Non Partisan,Linton Stockton School Corp,2571
,School Board Member,Clint Wilson,Non Partisan,HAMILTON SOUTHEASTERN,5905
,School Board Member,Cole Wolford,Non Partisan,NORTH DAVIESS,1892
,School Board Member,Conner M Stigner,Non Partisan,SCHOOL DISTRICT 4,883
,School Board Member,Constance (Connie) Young,Non Partisan,SALEM COMM SCHOOLS,675
,School Board Member,Corey B Lady,Non Partisan,"DAVIS, OREGON 1, OREGON 2, OREGON 3",1034
,School Board Member,Corey J Sizelove,Non Partisan,Madison-Grant United School Corportation,1126
,School Board Member,Corey S Potts,Non Partisan,Ohio,2172
,School Board Member,CORY ARCHBOLD,Non Partisan,MSD SCHOOL DISTRICT,4477
,School Board Member,Cory M Himsel,Non Partisan,DANVILLE COMM SCHOOLS,5172
,School Board Member,Courtney A Schwartz,Non Partisan,SOUTHWEST SCHOOL DISTRICT,2894
,School Board Member,Craig  Davis,Non Partisan,DEKALB EASTERN,1946
,School Board Member,Craig Parks,Non Partisan,"LCS Center, LCS Lebanon, LCS Perry, LCS Worth",4107
,School Board Member,Craig Peoples,Non Partisan,NORTH WEST HENDRICKS SCHOOLS,1574
,School Board Member,Craig S Starr,Non Partisan,2,512
,School Board Member,Cree Green,Non Partisan,SOUTHWESTERN,634
,School Board Member,Cressa L Rund,Non Partisan,NORTHWESTERN SCHOOLS,2395
,School Board Member,Cristie Rans,Non Partisan,CASTON SCHOOL CORPORATION,1466
,School Board Member,CRISTINA (GUERRERO WHITE) WILLIAMS,Non Partisan,East Chicago,920
,School Board Member,Crystal Mikels,Non Partisan,Mitchell Community Schools,3026
,School Board Member,Crystal Puckett,Non Partisan,Lawrence Township Schools,28394
,School Board Member,CURT JOHNSON,Non Partisan,SHELBYVILLE CENTRAL SCHOOLS,5596
,School Board Member,Curtis Rooks,Non Partisan,EDINBURGH COMM SCHOOL COR,925
,School Board Member,Cynthia (Cindy) Allen,Non Partisan,JAC-CEN-DEL,425
,School Board Member,CYNTHIA (CINDY) SUES,Non Partisan,Lake Central,18302
,School Board Member,D'Angelo Coles,Non Partisan,East Chicago,997
,School Board Member,Dacey Davis,Non Partisan,ECS D,1649
,School Board Member,Dacia Mumford,Non Partisan,West Lafayette School Corporation,1747
,School Board Member,Dale Groves,Non Partisan,NEW PRAIRIE UNITED SCHOOL CORPORATION,4769
,School Board Member,Dallas G. Osting,Non Partisan,RANDOLPH CENTER,1973
,School Board Member,Dalton E Tinklenberg,Non Partisan,Plymouth Community School Corp,695
,School Board Member,Damon King,Non Partisan,MT. VERNON,3220
,School Board Member,Dan Brown,Non Partisan,GREENFIELD CENTRAL,9525
,School Board Member,DAN DUCHEMIN,Non Partisan,MSD OF WARREN COUNTY,2413
,School Board Member,Daniel (Dan) Bucher,Non Partisan,E PORTER,3762
,School Board Member,Daniel E Spencer,Non Partisan,"EB District 1, EB District 2, EB District 3, EB District 4",1881
,School Board Member,Daniel J Bill,Non Partisan,NOBLESVILLE,4240
,School Board Member,Daniel J Davis Jr.,Non Partisan,NETTLE CREEK SCHOOL CORPORATION,2362
,School Board Member,DANIEL J. (DJ) HARKRIDER,Non Partisan,SOUTHWEST PARKE COMM,1659
,School Board Member,Daniel W Walker,Non Partisan,SOUTHERN HANCOCK,6325
,School Board Member,Danny E Weimer,Non Partisan,"GARRETT,  KEYSER,  BUTLER",1871
,School Board Member,Danny T Brown,Non Partisan,ECS D,1561
,School Board Member,Daqavise Winston,Non Partisan,IPS DISTRICT 2,3173
,School Board Member,Darlene Hall,Non Partisan,Scott County Schools 1,988
,School Board Member,Darren L Burch,Non Partisan,Bloomfield School Corp,2174
,School Board Member,Darrin L Bechtel,Non Partisan,N. MONTGOMERY SCHOOL CORP,3212
,School Board Member,Daryl L Cutter,Non Partisan,SOUTH DEARBORN COMM.,6151
,School Board Member,Daryl M. Hill,Non Partisan,Pike Township Schools,8012
,School Board Member,Daryl W Hutson,Non Partisan,S. MONTGOMERY SCHOOL CORP,3457
,School Board Member,Daryn  Sturch,Non Partisan,NORTH MIAMI,1648
,School Board Member,Dave Rinehart,Non Partisan,MSD Martinsville,4123
,School Board Member,David  Moore,Non Partisan,NETTLE CREEK SCHOOL CORPORATION,2139
,School Board Member,David (Mike)  Peterson,Non Partisan,ELWOOD COMMUNITY SCHOOL CORP,719
,School Board Member,David A Pine,Non Partisan,EAST NOBLE,4487
,School Board Member,David Adam Sheller,Non Partisan,WHITE RIVER,507
,School Board Member,David Allen Noonan,Non Partisan,MACONAQUAH,1905
,School Board Member,David C Potter,Non Partisan,DANVILLE COMM SCHOOLS,2078
,School Board Member,David D Henderson III,Non Partisan,ORLEANS SCHOOL CORPORATION,1511
,School Board Member,David F Deaton,Non Partisan,Scott County Schools 1,1466
,School Board Member,DAVID G MEHAS,Non Partisan,Westview,1645
,School Board Member,David H Floyd,Non Partisan,NORTH MIAMI,1829
,School Board Member,David J Purpura,Non Partisan,West Lafayette School Corporation,1628
,School Board Member,David Kewish,Non Partisan,MCS,1109
,School Board Member,David Lewis,Non Partisan,SOUTH GIBSON,4817
,School Board Member,David M Emry,Non Partisan,Howard,10139
,School Board Member,David M Mcclure,Non Partisan,Logansport SC,5919
,School Board Member,David M Smith,Non Partisan,Metropolitan School District of Shakamak,1388
,School Board Member,David R Larsh,Non Partisan,"PRECINCT 22, PRECINCT 23, PRECINCT 27, PRECINCT 28, PRECINCT 32, PRECINCT 33, PRECINCT 39",1845
,School Board Member,David R Moulton,Non Partisan,Lafayette School Corporation District 1,2132
,School Board Member,David R. Thompson,Non Partisan,CLARK PLEASANT SCHOOL CORP,5854
,School Board Member,David Rosenbarger,Non Partisan,FRONTIER,1426
,School Board Member,David Storie,Non Partisan,MADISON,5572
,School Board Member,David W Bettegnies,Non Partisan,Oak Hill United School Corporation,1257
,School Board Member,David W Pyatt,Non Partisan,NORTH WEST HENDRICKS SCHOOLS,1616
,School Board Member,DAVID W. BAILEY,Non Partisan,NORTH VERMILLION,691
,School Board Member,Deanna M. Burton,Non Partisan,GREENWOOD COMMUNITY SCHOOL CORP,6583
,School Board Member,Debbie Roberts,Non Partisan,JAC-CEN-DEL,1653
,School Board Member,Deborah L Chubb,Non Partisan,MICHIGAN CITY AREA SCHOOLS,11681
,School Board Member,Deborah L Lipps,Non Partisan,MSD Martinsville,4358
,School Board Member,Debra Bolanos,Non Partisan,East Chicago,1808
,School Board Member,DEBRA SIKMA,Non Partisan,TriCreek,1837
,School Board Member,Deena C Rupert,Non Partisan,JEFFERSON 11,99
,School Board Member,Deirdre M. George Davis,Non Partisan,Washington Township Schools,17532
